constant    1: beta    0, exp    1
constant    2: beta    6, exp   11
constant    3: beta    3, exp    9
constant    4: beta   15, exp   28
constant    5: beta    0, exp    0
constant    6: beta    3, exp    5
constant    7: beta    2, exp    5
constant    8: beta   11, exp   23
constant    9: beta    0, exp    2
constant   10: beta    7, exp   16
constant   11: beta   39, exp   63
constant   12: beta   22, exp   33
constant   13: beta   18, exp   29
constant   14: beta   30, exp   37
constant   15: beta   23, exp   40
constant   16: beta   15, exp   26
constant   17: beta   17, exp   31
constant   18: beta   21, exp   38
constant   19: beta    3, exp    5
constant   20: beta    1, exp    6
constant   21: beta    4, exp    7
constant   22: beta   10, exp   21
constant   23: beta    5, exp   13
constant   24: beta    5, exp   14
constant   25: beta   25, exp   39
constant   26: beta   10, exp   22
constant   27: beta   16, exp   29
constant   28: beta   18, exp   32
constant   29: beta   23, exp   37
constant   30: beta   30, exp   49
constant   31: beta    4, exp    7
constant   32: beta   20, exp   33
constant   33: beta   12, exp   22
constant   34: beta   16, exp   30
constant   35: beta   24, exp   39
constant   36: beta   18, exp   33
constant   37: beta   18, exp   33
constant   38: beta   26, exp   42
constant   39: beta   26, exp   42
constant   40: beta   31, exp   50
constant   41: beta   30, exp   49
constant   42: beta   30, exp   49
constant   43: beta    4, exp    7
constant   44: beta   14, exp   27
constant   45: beta    5, exp   13
constant   46: beta    5, exp   14
constant   47: beta   22, exp   41
constant   48: beta   10, exp   17
constant   49: beta   18, exp   32
constant   50: beta   16, exp   29
constant   51: beta   16, exp   28
constant   52: beta   12, exp   23
constant   53: beta   12, exp   23
constant   54: beta    6, exp   16
constant   55: beta   31, exp   47
constant   56: beta   36, exp   56
constant   57: beta   23, exp   37
constant   58: beta   34, exp   49
constant   59: beta    5, exp   14
constant   60: beta   11, exp   24
constant   61: beta   27, exp   43
constant   62: beta   27, exp   45
constant   63: beta   24, exp   45
constant   64: beta   24, exp   45
constant   65: beta   32, exp   53
constant   66: beta   30, exp   49
constant   67: beta    9, exp   13
constant   68: beta   21, exp   38
constant   69: beta   23, exp   39
constant   70: beta   23, exp   39
constant   71: beta   20, exp   37
constant   72: beta   16, exp   31
constant   73: beta   36, exp   63
constant   74: beta   17, exp   29
constant   75: beta   17, exp   29
constant   76: beta   17, exp   29
constant   77: beta   17, exp   29
constant   78: beta    9, exp   13
constant   79: beta   21, exp   38
constant   80: beta   15, exp   25
constant   81: beta   23, exp   41
constant   82: beta   16, exp   31
constant   83: beta   16, exp   31
constant   84: beta   24, exp   43
constant   85: beta   23, exp   27
constant   86: beta   20, exp   25
constant   87: beta   17, exp   31
constant   88: beta   17, exp   31
constant   89: beta   27, exp   43
constant   90: beta   27, exp   43
constant   91: beta   13, exp   27
constant   92: beta    8, exp   19
constant   93: beta   67, exp   99
constant   94: beta   16, exp   30
constant   95: beta   16, exp   30
constant   96: beta   28, exp   51
constant   97: beta   29, exp   55
constant   98: beta   36, exp   63
constant   99: beta   15, exp   31
constant  100: beta   37, exp   65
constant  101: beta   15, exp   31
constant  102: beta   24, exp   39
constant  103: beta   24, exp   39
constant  104: beta   24, exp   39
constant  105: beta   24, exp   39
constant  106: beta   24, exp   39
constant  107: beta   24, exp   39
constant  108: beta   24, exp   39
constant  109: beta   24, exp   39
constant  110: beta   55, exp   79
constant  111: beta   55, exp   79
constant  112: beta    1, exp    3
constant  113: beta    6, exp   15
constant  114: beta   20, exp   38
constant  115: beta    2, exp    5
constant  116: beta    6, exp   12
constant  117: beta    4, exp    8
constant  118: beta   26, exp   49
constant  119: beta   27, exp   48
constant  120: beta   31, exp   50
constant  121: beta   26, exp   52
constant  122: beta   17, exp   40
constant  123: beta   41, exp   61
constant  124: beta   21, exp   43
constant  125: beta   21, exp   43
constant  126: beta   27, exp   39
constant  127: beta   13, exp   29
constant  128: beta   16, exp   35
constant  129: beta   58, exp   77
constant  130: beta   31, exp   46
constant  131: beta   48, exp   80
constant  132: beta    6, exp    9
constant  133: beta   20, exp   33
constant  134: beta   28, exp   39
constant  135: beta   33, exp   46
constant  136: beta   28, exp   39
constant  137: beta   33, exp   46
constant  138: beta   28, exp   39
constant  139: beta   35, exp   52
constant  140: beta   26, exp   41
constant  141: beta   15, exp   24
constant  142: beta   21, exp   33
constant  143: beta   21, exp   33
constant  144: beta   26, exp   42
constant  145: beta   16, exp   28
constant  146: beta   24, exp   38
constant  147: beta   57, exp   72
constant  148: beta    6, exp    9
constant  149: beta   15, exp   24
constant  150: beta   21, exp   33
constant  151: beta   21, exp   33
constant  152: beta   29, exp   39
constant  153: beta   57, exp   67
constant  154: beta   26, exp   41
constant  155: beta   34, exp   47
constant  156: beta   16, exp   28
constant  157: beta   24, exp   38
constant  158: beta   57, exp   67
constant  159: beta   15, exp   19
